TP991703|Kimi|Beni@gmail.com|12345678|0186665478|Customer|2026-03-30T01:19:10.522069900|2026-05-22T13:51:17.060664700
TP902913|Abu|Abu@gmail.com|12345678|0123456789|Counter Staff|2026-03-30T01:19:10.522069900|2026-05-22T16:26:38.350818600
TP982184|Smith1|Smith@gmail.com|12345678|1234567890|Technician|2026-03-30T01:19:10.522069900|2026-05-10T03:09:43.795366800
TP901938|Jacob|Jacob@gmail.com|12345678|1234567890|Super Manager|2026-03-30T01:19:10.522069900|2026-04-06T18:04:51.674989800
TP758201|Benedict|Ben@gmail.com|12345678|1234567890|Customer|2026-04-03T03:26:26.437059100|2026-04-03T03:26:26.437059100
TP160583|nihao|nihao@gmail.com|12345678|0123456789|Counter Staff|2026-04-05T00:27:46.698745300|2026-04-05T00:27:46.698745300
TP973871|Gojo Satoru|gojosatoru@gmail.com|12345678|0123456789|Manager|2026-04-22T21:11:56.868248200|2026-04-22T21:11:56.868248200
TP588098|Christ|christ@gmail.com|12345678|0928374653|Counter Staff|2026-04-30T17:54:36.686401800|2026-04-30T17:54:36.686401800
TP530640|kylan|kylan@gmail.com|12345678|0987654321|Technician|2026-04-30T17:55:33.600874900|2026-04-30T17:55:33.600874900
TP461066|Gugugaga|gugugaga@gmail.com|12345678|0123456789|Manager|2026-05-22T00:37:28.538248300|2026-05-22T00:37:28.538248300
