FB-27635|APP-80002|null|1|1|terrible|2026-04-30T18:25:44.597186200|2026-04-30T18:25:44.597186200
FB-84155|APP-73745|oil change and fisex noise problem|5|5||2026-05-01T17:19:01.985306900|2026-05-22T13:41:15.169243300
FB-02050|APP-42822|fixzed problem||||2026-05-01T17:22:26.650056900|2026-05-01T17:22:26.650056900
FB-19023|APP-46884|fixed|3|3||2026-05-01T17:24:05.739052|2026-05-22T13:41:28.625581400
FB-09663|APP-95410|fixing||||2026-05-01T17:31:07.590028300|2026-05-01T17:31:07.590028300
FB-79479|APP-45864|fixing||||2026-05-01T17:48:25.674076800|2026-05-01T17:48:25.674076800
FB-44393|APP-10658|fixing||||2026-05-01T17:48:30.905917|2026-05-01T17:48:30.905917
FB-95717|APP-74750|fixing||||2026-05-01T17:48:36.099028500|2026-05-01T17:48:36.099028500
FB-26506|APP-01783|testing 1|4|2||2026-05-09T04:05:00.041405900|2026-05-09T04:05:26.837024600
FB-99760|APP-95286|testing 2|3|3|test1|2026-05-09T04:05:07.555333500|2026-05-09T04:05:32.769427
FB-97413|APP-87439|testing 3|2|4|tets 7|2026-05-09T04:05:13.375841200|2026-05-09T04:05:45.805522200
FB-06824|APP-82962|testing|5|4||2026-05-10T03:09:32.345736100|2026-05-10T03:10:33.647909800
FB-05754|APP-97787|fixed with no problems||||2026-05-14T04:30:00.209164400|2026-05-14T04:30:00.209164400
FB-81512|APP-69825|Crank Shaft Broken fix, Steering Rack Putus fix||||2026-05-22T13:26:14.350353800|2026-05-22T13:26:14.350353800
FB-91846|APP-24438|good||||2026-05-22T23:20:11.560055100|2026-05-22T23:20:11.560055100
